iter	Passed	Remaining
0	239	239086
1	240	120257
2	242	80539
3	243	60645
4	245	48778
5	246	40886
6	248	35202
7	251	31192
8	255	28175
9	257	25488
10	258	23250
11	259	21402
12	261	19856
13	264	18622
14	267	17561
15	284	17519
16	288	16654
17	290	15823
18	292	15108
19	298	14607
20	299	13982
21	301	13421
22	303	12882
23	304	12386
24	305	11925
25	307	11506
26	315	11383
27	317	11024
28	319	10693
29	320	10364
30	321	10058
31	325	9834
32	329	9660
33	331	9424
34	333	9195
35	334	8968
36	336	8765
37	342	8678
38	347	8568
39	349	8381
40	350	8199
41	352	8040
42	356	7939
43	360	7826
44	361	7673
45	362	7525
46	364	7381
47	365	7249
48	366	7114
49	372	7082
50	374	6971
51	375	6852
52	377	6737
53	378	6625
54	379	6520
55	381	6422
56	384	6363
57	388	6311
58	389	6219
59	391	6129
60	392	6041
61	395	5983
62	400	5954
63	404	5911
64	406	5843
65	407	5768
66	409	5697
67	410	5629
68	415	5606
69	419	5576
70	421	5511
71	422	5446
72	424	5384
73	425	5329
74	436	5386
75	438	5330
76	440	5275
77	441	5218
78	446	5205
79	449	5172
80	451	5117
81	452	5065
82	453	5010
83	454	4961
84	456	4914
85	463	4921
86	464	4878
87	466	4831
88	467	4786
89	468	4740
90	469	4694
91	471	4651
92	475	4639
93	478	4608
94	480	4575
95	481	4533
96	482	4494
97	486	4474
98	491	4469
99	493	4444
100	495	4408
101	496	4371
102	497	4333
103	498	4296
104	499	4260
105	501	4225
106	503	4205
107	507	4189
108	508	4158
109	509	4126
110	511	4095
111	512	4063
112	513	4034
113	515	4004
114	516	3973
115	520	3967
116	522	3944
117	524	3917
118	525	3889
119	526	3861
120	527	3834
121	528	3805
122	530	3779
123	531	3753
124	535	3751
125	538	3737
126	539	3710
127	540	3684
128	542	3660
129	543	3635
130	544	3611
131	545	3587
132	548	3573
133	552	3571
134	553	3548
135	555	3526
136	556	3503
137	557	3483
138	558	3462
139	560	3441
140	561	3420
141	566	3421
142	568	3407
143	569	3386
144	570	3365
145	571	3345
146	573	3325
147	574	3306
148	575	3287
149	576	3267
150	581	3269
151	582	3252
152	584	3235
153	585	3217
154	586	3199
155	588	3184
156	590	3168
157	594	3169
158	597	3158
159	598	3141
160	599	3123
161	600	3105
162	601	3089
163	602	3071
164	603	3055
165	604	3039
166	611	3048
167	613	3036
168	614	3021
169	615	3006
170	617	2991
171	618	2976
172	619	2962
173	624	2964
174	626	2952
